name_raw,name_family,name_first,title,fraction,period,state
"Franz Marcus, Dr.",Franz,Marcus,Dr.,STRONACH,XXV,BWV
Franzmair Josef,Franzmair,Josef,NA,SPÖ,X,O
"Frauscher Helmut, Dipl.-Kfm. Dr.",Frauscher,Helmut,Dipl.-Kfm. Dr.,ÖVP,XII,S
Freigaßner Evelyn,Freigaßner,Evelyn,NA,F,XXI,St
Freund Karl,Freund,Karl,NA,ÖVP,XVII,O
Freund Richard,Freund,Richard,NA,SPÖ,VII,W
Freundlich Emmy,Freundlich,Emmy,NA,SdP,I,W
Friedl Karl,Friedl,Karl,NA,ÖVP,V,W
Friedl Klaudia,Friedl,Klaudia,NA,SPÖ,XXVI,B
"Frieser Cordula, Mag.",Frieser,Cordula,Mag.,ÖVP,XVII,St
